,Profit
11475,-48.5082
31101,14.64
35808,3.2616
20795,8.67
3396,-182.637
11457,159.9
45294,24.36
33745,0.96
47249,0.7746
47155,8.4
38856,-59.373
10445,10.2
29196,-6.192
11709,25.74
19489,-197.34
45621,6.3
27995,0.0
10003,17.16
19015,101.394
20919,15.0
42819,18.36
28973,-81.45
37250,17.1574
10583,87.03
41130,13.572
20374,22.5732
6059,65.67
27000,11.3
34869,11.88
16666,58.26
34338,60.66
13039,-8.5794
4107,36.9305
33627,24.3
3001,1.9629
40240,1.8
29385,182.355
44795,8.3916
26137,0.0
10146,18.72
42498,-4.89
29316,134.652
3426,87.84
40256,10.2
32119,-78.72
30064,13.4865
27611,1.12
13996,23.04
34941,-12.672
24302,35.6776
14143,23.7
42747,-41.838
49606,-1.362
25980,31.977
25047,12.3
48723,-2.388
33942,-23.544
23477,15.9446
10586,46.83
39217,31.32
7212,94.56
17201,81.702
32023,20.235
37813,19.99
44293,-22.524
1003,-129.726
48660,-1.644
23658,230.1
21796,2.55
34522,38.52
19293,27.64
24396,-40.401
6788,91.56
33659,6.12
26115,37.68
9267,2.8776
9301,-82.99
4362,208.8
1741,32.3982
13488,21.6
17208,74.25
27129,4.53
23809,2.04
30470,5.19
20959,70.5
7133,2.1
20465,3.12
23149,73.02
10460,27.48
28249,66.15
9725,251.891
32302,82.83
12678,-18.5562
45841,3.3
47531,5.43
4,-6.03
15780,18.64
43601,0.51
16861,-18.4875
25900,99.28
22472,79.92
24362,13.2
30417,38.78
33689,1.32
29307,-2.73
43133,6.36
11827,-5.72
4459,8.0548
45278,9.72
1422,246.84
32951,28.497
4831,-17.2725
32144,0.8736
34682,-9.9
29291,30.5
7650,-7.95
36657,12.84
9146,273.48
9661,3.64
43480,-56.0592
9744,304.56
31963,61.02
36114,-19.1058
38630,4.44
18184,46.416
1118,70.92
16842,4.76
9192,7.9128
11444,123.769
17294,0.0
29112,-13.938
8582,262.88
1603,3.912
5966,37.8
11035,197.352
40190,-10.473
24895,-83.691
23298,-80.82
26133,74.1424
25244,-3.1032
24633,6.12
18954,173.46
3767,-8.1654
20073,24.42
46825,12.08
46670,-29.472
1792,3.66
3737,208.32
7266,89.94
38876,-19.28
33381,11.952
3222,-32.472
38150,-2.0264
39719,7.368
35729,-11.52
30703,20.9274
32760,6.21
28367,7.1022
30247,35.6796
25561,0.84
9444,11.206
48798,-1.476
32690,44.7
15443,-4.28
12824,-26.595
16497,15.84
31327,-8.724
36416,-33.3
22646,104.46
5746,-25.049
4817,114.995
45401,-10.5
16311,148.5
9331,-14.3595
39049,7.88
38100,13.3476
24612,2.64
25674,3.09
48793,-4.128
2574,9.0
18221,6.54
18527,-30.528
45857,3.3
33061,84.6
28574,91.032
18102,11.616
18730,16.44
40454,2.28
49592,3.4544
5223,81.0
31332,-26.76
45563,1.65
44940,-4.464
22508,-2.292
43947,0.0
44474,1.35
15914,46.998
41720,32.44
5158,-71.0
29912,3.6288
16539,-98.406
17825,67.869
3940,301.812
15079,-109.344
3804,136.238
26487,2.0979
41871,3.96
20783,83.4
49005,5.58
28701,-0.036
48981,1.1022
27948,14.64
38267,-5.9
20190,35.85
49069,-0.78
15785,-118.2
25222,22.8
44056,-7.332
23943,4.05
34417,2.94
19699,7.29
9736,-278.395
10660,385.38
3840,9.0
13459,79.8795
32432,22.72
18465,99.84
18972,95.0968
26969,23.28
43809,6.78
32457,5.22
29358,6.0
25417,35.1
22103,-223.08
29335,84.6
6365,2.22
46261,15.552
40259,-81.072
4614,925.44
10598,25.776
2874,809.28
5215,785.52
42697,5.88
6896,29.88
18045,170.58
40116,1.98
25141,35.1
2008,151.47
16242,102.0
15255,-14.4078
628,1989.54
4413,50.01
29018,20.1584
19998,41.4276
14194,3.72
39726,29.16
6715,-13.3236
46801,-12.896
25764,4.1988
40845,8.28
42743,3.475
1655,669.76
32485,4.9497
47528,8.58
14769,-11.1375
20820,-1.096
15178,14.76
39783,2.16
2476,184.95
4256,108.6
1406,130.2
9908,8.9544
24458,55.745
43917,27.84
3593,248.036
20868,-2.868
46750,-11.632
35998,-2.97
19771,114.938
47811,2.97
46691,-17.955
10689,-12.408
13278,83.748
8394,302.373
33280,-8.312
20562,-18.186
31785,0.84
17202,108.468
28156,45.294
23013,8.7168
27391,-295.362
672,55.17
48843,-3.324
30214,-3.792
24110,7.2
29699,16.32
2522,-147.523
8053,7.44
7003,83.853
20984,4.5588
13475,70.533
2954,2.64
34978,57.5928
18444,-31.068
45041,12.12
36462,9.488
17491,76.14
26343,-13.872
20692,-2.5014
32785,-6.8346
11281,-29.92
3402,51.8312
17595,163.19
11625,39.6
3053,0.48
40980,8.19
43783,4.1391
48353,6.2208
39025,-34.08
16549,17.64
39205,-57.24
11121,0.0
32270,62.72
36829,6.4944
27348,1.8
43670,1.38
36830,7.2576
7027,6.06
17792,176.803
31743,16.44
40908,11.58
13004,278.56
5264,223.344
44263,146.769
3227,-1.976
28995,-16.5
45630,-14.472
26271,9.654
44289,7.2576
5707,64.53
39143,-0.5598
38188,14.52
19625,39.6
26323,5.7
43334,-6.264
20626,39.12
18442,284.06
9694,261.18
23271,19.8
1388,129.96
45449,2.43
6943,1.44
23715,125.265
25930,5.4432
31240,-30.336
36006,-1.8417
6821,-101.424
37303,-35.652
33167,0.84
2493,161.19
9254,-147.865
19217,43.68
24711,48.58
8479,-115.354
44985,3.597
24857,8.76
3715,71.421
47375,-1.08
4016,-11.61
36522,-4.5
40073,-6.696
47485,8.7
3030,3.42
45803,-2.196
19872,0.9856
33390,63.09
167,26.01
10945,2.7
35987,-27.6
13687,121.442
35246,22.4316
17249,85.2
27196,-44.34
3919,249.84
47024,5.1042
8763,8.28
18119,-26.196
8615,231.6
4155,6.09
29229,80.6312
26397,12.7368
18379,15.3
6623,101.64
2322,7.263
46460,13.2288
30838,30.9
6735,67.92
45362,1.068
43210,11.04
45568,18.18
3604,110.421
5034,45.42
19512,132.59
33781,57.3
40536,1.6752
43388,8.64
28846,5.64
1039,756.0
16732,295.74
22351,303.341
45412,3.069
17462,185.4
8901,10.98
19365,-347.112
21974,238.05
23153,18.3645
7094,7.2576
36158,-7.92
13797,245.406
4086,269.308
26937,25.5968
8191,25.02
34427,41.04
11337,-68.28
4384,236.25
23144,-114.588
45230,21.06
38245,17.28
7673,300.78
9447,-21.6
26510,36.1836
29950,-1.9872
40986,18.36
19048,12.978
10907,29.7
41200,-25.74
36030,35.28
14431,-9.84
5975,-37.168
31855,2.58
47220,-10.41
47872,0.99
40186,6.2016
30702,19.9746
42879,19.74
33753,4.2
23245,6.104
40120,11.484
31435,-89.2
34304,20.52
12362,123.768
48460,3.6288
30234,22.5624
4788,10.0624
15177,68.46
7474,0.318
27088,19.092
21718,-8.52
36595,16.65
6020,-376.8
45254,2.97
2868,0.36
48520,5.7624
8790,200.64
32860,2.6964
38249,11.67
31797,1.112
22747,7.65
43230,2.97
41578,15.66
14501,5.1294
32701,4.812
41929,-44.1462
13214,8.856
32790,-28.6272
21934,40.68
1444,340.2
28045,8.04
39471,9.28
24498,-165.368
19291,50.04
44190,39.52
43851,6.21
34696,-5.712
41666,27.75
20240,15.78
42648,0.3336
18380,40.137
49637,-1.4016
5275,45.4671
47166,3.3534
34677,4.32
36505,-3.231
40046,-45.423
48393,4.5188
25304,51.75
16089,376.92
33025,36.66
10308,7.9086
11450,267.2
35888,12.7008
47373,3.828
32621,41.79
34658,9.6072
47845,5.5616
38048,0.0
14090,2.37
30430,-113.07
26587,105.15
27210,10.52
39855,18.6
26533,-11.064
28052,39.33
465,-0.024
27857,6.8724
30168,-190.852
13443,12.42
42210,18.24
47029,6.6584
44570,4.65
49489,-44.046
1811,58.671
8952,-25.62
38668,10.804
564,570.9
20277,-126.408
3104,356.004
19463,165.599
14894,258.6
35882,3.984
21908,7.6
16329,8.82
15864,25.95
14896,471.6
18115,18.42
20230,9.78
30423,7.68
11214,26.56
31502,79.88
22575,3.06
40244,5.79
8940,39.4
28361,37.56
40527,0.0
19242,14.52
10436,1.395
12187,158.355
48442,4.92
38261,-12.8961
10565,2.226
22919,-19.08
29298,0.24
21369,5.44
26774,36.0
43876,10.092
36851,-19.752
9861,129.42
41602,33.96
15016,-49.0932
1900,364.46
13389,103.818
4657,-35.3913
20987,30.66
11987,-165.48
11660,6.6
37010,43.76
34759,17.76
49607,-0.702
35844,-138.936
10465,24.0
27680,-38.688
20235,64.701
28751,0.84
1704,21.78
33924,1.04
28675,-88.977
12955,56.7
34708,3.06
21160,17.55
14029,56.52
38474,-11.284
8451,0.444
25219,10.62
22531,6.78
27104,36.18
48292,1.59
45872,-2.2896
26184,31.05
28498,-14.976
44286,7.38
33346,-3.136
28611,-197.64
7785,287.982
33401,2.7
27743,34.2
12146,22.0158
26769,2.99
14399,50.4711
4273,301.14
7379,49.5
29071,-2.94
21775,6.0
10600,17.34
24129,-35.238
41480,17.634
27194,-22.74
44099,5.64
42480,-9.99
28510,-18.4518
17598,-24.6258
37627,1.8
4884,239.58
5567,1.338
31868,20.76
8474,58.59
29843,11.76
644,709.937
2189,2.97
48244,2.19
14449,-50.098
332,1042.32
34032,46.2
30331,13.824
11933,15.69
21887,83.268
5048,5.55
35027,3.24
10012,-98.976
29031,-12.705
44922,9.2176
39925,-47.46
47288,-2.448
22598,10.614
24029,0.52
44477,1.28
13614,-335.444
27519,37.26
21112,127.05
23288,139.0
41252,49.62
12065,189.39
47584,7.41
33563,24.78
11192,134.861
18483,31.8
13013,12.792
6756,48.45
5987,-4.095
35600,7.6
38323,12.4416
10424,-205.188
26985,85.08
31451,30.66
416,523.08
23635,138.72
27739,20.392
44546,3.6894
19697,31.6915
30938,28.44
10849,24.12
23691,-95.424
22672,38.58
2059,51.42
4672,1.1946
29288,48.69
18536,0.0
17912,20.0851
35043,2.448
1164,30.848
14802,68.607
45143,-14.1639
16831,326.448
33411,-2.445
13431,61.44
6556,21.52
5625,146.212
14514,-9.612
22471,35.76
31714,18.6624
12208,157.87
49660,16.8
32187,6.688
48701,-5.886
33201,63.4368
31426,-530.333
11026,79.2
37910,8.262
36615,-8.142
9911,92.3692
45537,4.32
32192,-30.3915
20265,-13.5598
22047,-146.112
879,-619.596
22512,2.304
15030,25.3
26142,33.57
20697,560.788
25846,1.672
26817,-42.15
49042,3.51
27669,-91.92
27538,0.09
16647,5.5341
484,17.27
5553,133.36
16454,4.32
46831,0.57
19635,-5.89
12859,68.28
5582,0.0
30929,-3.336
35664,32.787
12994,46.225
24349,-4.14
25315,15.48
34175,19.08
6100,49.216
12628,3.474
32279,-52.416
21724,-27.2709
46340,-0.45
10853,-33.075
31114,158.55
16159,237.86
24713,70.218
6049,-296.136
32480,2.4
42503,17.108
8690,206.688
29105,-36.816
4524,124.902
39252,-19.956
24822,61.29
18346,62.01
47749,8.58
43999,0.24
30294,5.94
31877,-28.59
38240,-16.224
28822,9.3184
13471,9.99
28837,1.92
10665,1.71
17596,2.5056
33451,18.48
20363,-12.648
12616,38.38
26755,5.7072
12465,33.39
41084,6.58
4759,302.063
11499,218.2
16703,-15.1976
39589,-23.388
20747,96.3438
6113,2.0064
22390,43.86
33094,-14.4
40184,4.9104
28019,12.24
33240,28.38
35637,-34.272
17599,32.58
9887,1.32
38617,-16.776
24579,2.43
10172,70.32
26095,1.48
33488,-0.09
37328,7.84
21266,50.4063
17681,2.86
43781,0.72
21368,4.833
16250,6.0
1599,176.4
6848,-1.424
44313,6.32
19140,-19.47
47434,3.42
3939,230.31
44366,5.52
34252,8.992
47687,0.0
28487,19.32
49201,5.6994
3541,79.08
38747,5.13
7390,29.58
32005,9.72
12589,-74.793
4091,105.21
7411,13.8
13095,28.8396
10268,43.44
26699,6.84
46704,6.06
43690,9.36
12733,119.52
37014,51.6558
23848,34.182
5908,13.02
10595,20.232
26833,-24.156
30384,4.3902
17047,-9.552
23264,41.354
11574,7.7
48533,-18.8728
35532,14.5638
26540,68.76
3885,11.673
24208,5.9185
3419,32.3351
25154,13.2
44545,6.81
25657,7.98
14159,-35.1225
6308,-218.568
26893,65.28
35534,-314.94
43839,7.68
17180,20.8494
7841,88.1804
15356,70.56
47110,6.5538
9632,8.272
42376,-175.938
664,1072.44
22871,8.43
11836,-322.452
39786,27.9456
31693,23.76
501,1.26
17102,3.99
47514,0.66
2863,28.0784
40086,14.5728
26822,6.84
7342,62.16
40976,-23.352
15632,-1475.35
4252,22.6275
34530,0.1008
31461,16.7412
20326,37.44
30902,114.54
7753,566.553
16030,75.84
43565,1.95
46447,2.61
1901,5.1294
1570,95.76
16377,19.9872
4039,768.88
49185,4.752
13177,19.1376
37652,-149.562
21955,99.9012
8663,27.3
39433,16.2
21723,113.85
13988,148.68
42042,23.96
39348,32.55
1114,44.73
38571,2.43
38938,23.7
23208,50.9208
49437,-2.928
21626,-15.144
19432,142.2
21166,33.552
46703,2.73
48230,-5.056
42440,19.56
47417,5.838
4408,282.0
35567,67.6599
5843,-297.864
35353,10.2
48083,-31.182
31715,54.2808
5712,5.376
30366,-51.3972
42582,20.48
6400,25.38
32310,-0.796
44774,0.18
17003,2.52
27687,24.33
18392,-0.99
23919,-150.414
2182,-21.36
3494,37.476
10639,89.1
39174,-8.424
29972,43.26
25560,116.243
13259,177.66
42804,3.36
47324,-18.33
2899,7.65
24480,71.46
39713,-28.62
39069,1.34
476,7.5762
14554,41.986
12868,13.86
16610,-8.5794
9792,291.6
33674,61.5
8113,6.06
29142,30.28
32929,29.95
8684,-7.14
47171,-6.822
44691,12.96
2213,-1736.28
8274,-4.2336
40551,-1.4994
14339,14.7184
36108,2.7
17756,-68.76
1566,320.04
9536,2.5164
39611,28.6965
12528,2.0492
9722,224.85
42677,5.82
2191,-495.63
4745,-343.455
6921,62.988
4859,42.9288
36093,-10.2912
45065,-9.936
5662,1.44
20979,12.4404
36482,113.434
22896,24.03
7356,232.001
15951,17.28
38502,14.58
47396,-11.322
40484,28.7964
7460,4.38
49223,-3.156
44694,-44.298
5540,145.589
16992,-88.08
21528,5.6994
43991,18.18
31970,58.86
11607,-162.04
6648,110.91
41826,16.92
21843,75.6952
1498,282.18
31039,15.824
36297,15.68
36276,-11.124
1822,0.0
23460,4.23
7616,84.42
34646,-2.4
32266,39.4268
40639,15.03
17053,8.4
32010,11.31
32444,7.9728
3211,0.6696
38373,-15.84
8869,180.45
30208,-17.1
17179,0.504
32603,-68.328
9183,236.232
20000,21.7532
42578,2.24
45865,0.954
41880,0.75
13999,120.0
40058,17.001
4829,73.788
7678,40.26
17080,16.47
31686,30.1968
32684,17.7
46396,5.8
34506,12.6
46942,4.4604
20956,-4.356
10390,44.8896
25828,22.869
32325,-10.2618
27141,33.96
49497,-1.35
25799,-60.768
44441,14.84
43757,-9.894
10814,60.6
19841,36.4
4580,3.09
9925,3.078
48453,1.8704
37195,20.22
40699,4.41
36528,4.47
11107,9.18
35309,-4.84
26153,1.752
9413,9.3564
37326,5.4
29499,2.37
40637,71.12
31104,-15.9984
13478,205.862
44343,-3.8205
42099,8.64
34303,20.92
22147,0.54
42714,8.82
35231,1.14
14686,332.88
30882,-47.88
2561,-9.69
35260,4.83
33294,6.48
9381,-23.6115
28802,6.54
4421,3.2256
13883,-1141.47
13661,191.31
18598,62.97
30380,12.78
41426,9.688
8350,6.21
43901,17.94
48366,1.5008
2579,97.6524
33883,18.9
48330,2.01
543,10.32
26403,-13.524
34179,4.38
10506,5.94
1163,2.4
13744,15.4752
44205,6.0084
29244,-240.42
43471,-8.396
5045,-34.9176
14216,-0.03
27023,47.3
35633,17.82
2975,569.99
36477,41.5104
19100,10.08
5159,0.804
28232,9.18
32716,57.3
41524,26.6616
9351,70.32
30459,9.06
13832,126.114
22201,46.5
6936,27.72
10734,51.75
35164,36.036
29247,73.98
13206,-2.0367
5762,-110.49
24066,20.1
34570,0.0
2530,9.1
11461,5.22
40310,21.78
42907,15.0
25056,128.31
4995,4.05
8639,270.48
25259,6.2566
28974,-1.215
26222,14.64
13153,38.61
6948,-29.2776
40649,7.8225
36867,19.56
8596,14.4648
37816,-9.084
20417,1.26
35573,-1.8392
3700,106.32
29632,11.925
44596,11.5326
17164,37.95
1005,-177.66
38633,36.96
3025,165.42
454,253.795
46552,12.72
45819,5.7
47597,1.375
41171,35.1
23556,54.18
3882,10.41
16808,0.99
11521,206.316
15871,-14.043
16739,16.56
45364,6.84
20610,-12.195
46186,2.5056
22140,-21.52
49395,15.48
23180,-113.748
7040,108.36
21766,102.6
15897,187.92
15297,59.76
18203,86.3856
46813,5.4288
15639,1.38
26982,25.4
44427,-15.6156
12371,-3.534
24706,-36.72
17018,196.613
1507,5.64
34156,8.88
18068,-3.465
23015,7.8
17031,60.3675
33817,-2.46
35594,15.24
4969,170.52
45344,-50.379
25546,16.38
44438,23.82
33985,20.7459
41354,-26.055
13608,17.28
10993,238.04
5308,41.805
36005,26.84
49247,3.82
8293,-1.536
12351,6.1
27317,19.2
30905,18.46
14504,31.944
33799,37.4144
45547,6.2208
47536,15.12
41390,8.88
4689,25.2
19007,54.215
27344,22.14
7890,77.748
6573,28.16
21006,124.0
10214,-31.491
37832,9.9652
30786,8.34
21488,2.7
38753,28.5
47991,-24.24
176,225.18
5733,-271.5
41468,-18.0
24200,-36.2352
4248,4.224
8557,406.56
16854,-6.945
3136,67.6
44334,-67.83
35008,51.48
33514,0.24
26834,0.0
25728,-160.506
9060,22.152
6954,7.04
4305,17.84
4704,73.6
45405,15.54
48077,2.9682
37642,-43.695
43424,0.84
9618,-6.78
14513,40.44
6904,2.46
11744,88.3932
43522,14.148
27661,122.58
36581,-104.712
34150,7.56
47538,1.05
26527,68.823
36473,27.96
14471,-2.8656
46264,-11.928
12235,-14.148
47695,-33.0
8718,12.32
26045,-17.688
32295,39.15
14261,319.35
28158,-9.369
14321,-471.69
13299,231.24
31572,-15.696
33445,-4.8
14277,46.632
9728,55.936
38824,-1.792
1590,-56.1114
25113,68.4
21588,127.71
23955,2.64
33641,5.4432
26275,42.48
12781,3.36
33680,23.85
33254,0.4752
42869,0.5432
2210,-7.89
27217,202.32
32811,-1.11
21745,-2.472
35818,-57.7101
9804,3.3948
17095,49.8042
42434,7.16
39543,-13.3341
38959,-69.72
43069,8.619
37757,15.36
11416,0.504
24751,-39.48
38120,22.8285
5227,7.11
21001,120.48
37780,4.524
3785,224.58
23443,-6.237
19308,5.76
42128,-68.4
6079,65.31
5211,-27.384
19979,7.996
28424,1.008
34991,12.08
24800,31.5
33070,90.72
30389,4.89
28359,113.46
40132,-7.848
43662,9.3
6199,31.896
13391,38.4
45355,3.45
40617,32.925
17713,78.4396
14170,-1.386
48064,-1.8126
24615,19.9974
4724,176.812
4246,74.4
1276,228.36
6367,-34.11
330,589.2
8870,171.3
35357,28.8
10126,18.54
46571,38.31
27298,88.2
33423,-27.45
24513,4.88
38439,44.424
35276,9.945
9506,102.057
16810,54.5832
27060,8.16
11296,14.04
18264,112.68
12338,-71.9604
26595,3.4269
18490,0.3336
27629,53.88
34736,45.3222
44575,5.92
27224,5.796
22312,-43.62
1180,198.636
27290,7.74
30705,0.9512
28284,57.5016
949,8.505
40001,-1.9602
26866,11.7
46755,-18.4464
2593,9.63
46035,2.2
11797,-3.258
14576,-0.0255
45881,7.344
20696,-20.0664
25810,0.0
28871,28.62
43256,9.3312
43399,15.03
15517,-92.72
8006,10.05
44450,-2.187
22095,-32.864
36791,13.56
31004,-29.0073
6262,314.812
47842,1.0287
22964,21.6
46132,9.9216
6224,82.728
32631,60.84
37645,52.49
38901,2.25
27303,3.42
18603,9.18
5729,-56.16
13835,8.91
21215,2.76
28972,-0.032
2338,850.836
15211,131.82
49420,4.11
3862,3.36
46170,-16.035
40165,2.8784
47422,3.6288
3037,-348.681
34855,11.07
18551,-838.908
12287,-228.272
12617,-112.622
27987,14.7582
40691,6.02
47614,5.31
40471,-5.646
6567,-153.0
26229,328.08
29617,4.36
14160,46.68
27595,18.42
43009,10.86
43077,6.78
25885,10.56
41301,11.37
15394,18.63
21750,32.34
19892,182.52
32090,-27.576
7339,208.26
47321,2.8912
13062,147.8
22466,-6.676
17082,12.8316
25418,62.28
37972,48.78
26354,12.66
47922,1.7004
20546,-13.92
38878,-0.036
4130,150.384
22859,26.109
27779,69.84
41461,9.012
18148,133.44
1175,-36.94
8675,12.36
25129,3.24
40608,-103.32
2528,42.648
44053,3.27
42169,15.7194
25555,-6.049
22655,7.08
37558,27.45
23838,-154.476
16213,8.9604
22371,23.22
30398,-42.408
20771,-3.9702
12240,1.8
31344,28.32
5012,235.8
12618,-5.4558
4813,371.16
469,0.5299
11734,-0.063
48253,5.1072
5071,165.34
26566,5.46
40246,7.44
39115,11.04
38159,17.158
36986,-51.2967
36865,7.32
16358,-6.08
5146,34.7916
15884,8.04
5455,19.0512
6034,7.77
9195,19.5
1282,116.952
40436,-32.874
26700,3.36
38570,0.24
6748,69.7374
2710,57.66
36811,-7.38
26161,-10.176
30592,35.76
8238,284.22
4613,1.8
28420,6.9
29983,-20.223
38603,6.72
15182,27.2
30760,13.16
5466,2.0748
29944,-1.0196
38410,16.4
22016,14.448
42407,15.12
5395,-29.9352
19883,4.168
32864,2.82
34573,79.6
10801,-271.494
16635,2.56
43446,11.2308
15024,125.73
18250,14.952
48075,-3.42
28620,-10.9188
21342,36.15
45164,7.2268
17735,33.36
40272,12.8
31884,-14.5536
842,9.84
22364,12.4416
39352,-14.5224
4816,27.78
3210,101.383
48572,4.92
45576,-5.9157
41138,-166.393
3366,-27.72
5936,37.05
29595,42.0256
32392,23.97
22478,111.591
39717,-14.025
47587,3.45
2996,26.1465
34402,10.0485
47640,6.96
28216,123.9
19660,-0.0021
7652,-76.14
18172,-21.4236
39877,28.2
14606,-836.568
21073,-52.216
36934,13.734
34181,-1.976
32493,47.3
22913,-50.556
36327,6.54
6916,-111.622
38816,-41.04
24692,12.0252
37156,0.6
46477,10.224
8406,0.0
43299,5.94
27096,-1.14
32861,37.23
5645,-68.058
15102,242.112
12773,180.766
7538,7.362
6656,510.636
34595,-6.48
1710,9.7119
39484,33.24
13758,0.48
43216,5.52
17541,16.1505
20840,-302.72
29293,-95.6
38981,11.7
6329,-520.335
32030,11.0508
41546,-5.34
40754,-11.196
35176,-48.06
28461,16.26
24268,5.52
22132,-9.03
13511,-118.068
49167,-15.27
9645,195.285
40169,9.165
4519,119.996
17362,197.921
35878,31.68
36733,1.98
32226,-3.864
15361,111.582
29115,-5.1066
1644,-238.028
19021,53.91
36970,19.452
10115,0.834
45265,11.94
41889,16.6536
28215,46.98
28299,8.3328
27156,15.78
7096,-1002.78
10365,275.66
21850,6.16
29940,-65.52
34608,11.08
18274,9.84
3263,408.876
34443,6.6
45473,17.49
21479,112.788
3714,5.643
49286,-7.515
25790,10.5728
36437,13.338
30100,4.11
4144,5.2
44819,8.16
8546,5.49
12923,40.05
47816,-10.72
47343,8.2992
4348,15.675
3519,9.3
23209,0.72
36467,11.891
5488,43.68
23338,43.743
48737,11.7078
14168,4.5837
18218,26.25
14552,6.45
5195,-50.098
13757,46.26
33803,-98.691
